55347,"2017-11-18 00:00:00",Liverpool,Southampton,8650,8466,"2017-11-20 00:00:00",1.39,5.0,9.0,1.4,4.75,8.25,1.45,4.4,7.2,1.4,4.6,8.0,1.41,5.14,8.67,1.4,4.8,8.5,1.42,5.07,8.47,1.4,5.0,9.5
55358,"2017-08-19 00:00:00",Liverpool,"Crystal Palace",8650,9826,"2017-08-21 00:00:00",1.36,5.25,9.5,1.34,5.25,9.0,1.35,5.3,8.0,1.36,4.8,8.0,1.39,5.24,9.27,1.33,4.5,9.0,1.39,5.31,9.0,1.36,5.25,9.0
55373,"2017-09-16 00:00:00","Crystal Palace",Southampton,9826,8466,"2017-09-17 00:00:00",3.0,3.3,2.6,2.95,3.25,2.5,2.85,3.3,2.5,3.0,3.1,2.45,2.99,3.32,2.6,2.8,3.1,2.6,2.89,3.26,2.72,3.0,3.25,2.6
55378,"2017-09-15 00:00:00",Bournemouth,Brighton,8678,10204,"2017-09-17 00:00:00",2.15,3.4,3.8,2.1,3.3,3.7,2.2,3.35,3.3,2.15,3.2,3.4,2.17,3.44,3.74,2.1,3.3,3.8,2.17,3.41,3.76,2.15,3.4,3.75
55387,"2017-11-28 00:00:00",Brighton,"Crystal Palace",10204,9826,"2017-11-29 00:00:00",2.7,3.1,3.0,2.6,3.1,2.9,2.5,3.15,2.95,2.65,3.1,2.9,2.68,3.17,3.01,2.62,3.1,2.9,2.77,3.1,2.97,2.7,3.1,3.0
55389,"2018-01-01 00:00:00",Burnley,Liverpool,8191,8650,"2018-01-04 00:00:00",7.5,4.5,1.5,7.25,4.4,1.45,6.2,4.0,1.55,6.5,4.2,1.5,7.31,4.45,1.52,7.0,4.33,1.5,6.6,3.8,1.65,7.5,4.4,1.5
55399,"2018-01-30 00:00:00",Huddersfield,Liverpool,9796,8650,"2018-01-31 00:00:00",12.0,5.75,1.3,10.5,5.5,1.3,7.5,4.8,1.4,12.0,5.5,1.3,10.75,5.65,1.33,11.0,5.5,1.3,10.95,5.49,1.34,12.0,5.75,1.3
55408,"2018-01-31 00:00:00",Southampton,Brighton,8466,10204,"2018-01-31 00:00:00",1.75,3.5,6.0,1.75,3.4,5.5,1.8,3.6,4.5,1.75,3.3,5.25,1.77,3.48,5.99,1.75,3.3,6.0,1.85,3.42,5.27,1.75,3.5,5.75
55449,"2017-01-02 00:00:00",Sunderland,Liverpool,8472,8650,"2017-01-04 00:00:00",11.0,5.5,1.33,9.5,5.25,1.33,7.5,4.8,1.4,9.0,5.0,1.35,9.95,5.55,1.35,11.0,4.5,1.36,10.0,6.2,1.32,8.5,5.5,1.36
55455,"2017-01-02 00:00:00",Everton,Southampton,8668,8466,"2017-01-04 00:00:00",2.2,3.4,3.6,2.15,3.3,3.5,2.1,3.4,3.5,2.2,3.2,3.4,2.28,3.33,3.55,2.3,3.2,3.4,2.48,3.25,3.24,2.25,3.3,3.6
55462,"2016-12-26 00:00:00",Chelsea,Bournemouth,8455,8678,"2016-12-28 00:00:00",1.36,5.0,8.5,1.36,4.6,8.25,1.35,5.3,8.0,1.4,4.33,8.5,1.42,4.78,9.52,1.4,4.8,8.5,1.38,5.05,10.4,1.36,5.0,9.0
55468,"2016-12-26 00:00:00",Watford,"Crystal Palace",9817,9826,"2016-12-28 00:00:00",2.5,3.3,2.9,2.4,3.2,2.9,2.3,3.3,3.15,2.4,3.2,2.9,2.54,3.36,3.05,2.4,3.3,3.1,2.47,3.26,3.24,2.5,3.3,3.1
55492,"2016-11-05 00:00:00",Burnley,"Crystal Palace",8191,9826,"2016-11-06 00:00:00",3.3,3.3,2.38,3.2,3.25,2.35,2.95,3.3,2.4,3.25,3.25,2.38,3.42,3.37,2.32,3.3,3.1,2.4,3.6,3.27,2.29,3.5,3.3,2.3
55493,"2016-11-05 00:00:00",Chelsea,Everton,8455,8668,"2016-11-06 00:00:00",1.53,4.33,7.0,1.53,4.2,6.25,1.55,4.0,6.2,1.55,4.2,6.5,1.57,4.37,6.47,1.57,3.75,7.0,1.5,4.61,7.4,1.57,4.33,6.5
